,title,price,image_urls
0,Apple iPhone X - 256GB FACTORY UNLOCKED - Space Grey - Good Condition,"INR 29,983.98",https://i.ebayimg.com/thumbs/images/g/JigAAOSwxeVeb~rg/s-l225.jpg
1,"Apple iPhone X Smartphone - 64GB, 256GB CDMA/GSM Factory Unlocked, Silver, Gray","INR 31,204.70 to INR 33,493.55",https://i.ebayimg.com/thumbs/images/m/mmf65b_8sssBgHtSFwVQWiA/s-l225.jpg
2,Apple iPhone X (256gb) AT&T/ Cricket (A1901) Apple-Care *~* MiNT/ ExTRAs * iOS13,"INR 49,502.56",https://i.ebayimg.com/thumbs/images/g/QmAAAOSwm6xd6u6Z/s-l225.jpg
3,Apple iPhone X 64GB Silver | UNLOCKED VERIZON SPRINT | SHIPS SAME DAY!,"INR 28,991.38",https://i.ebayimg.com/thumbs/images/m/m8VjNV12M4n2lHu7YVw6X0w/s-l225.jpg
4,"Apple iPhone X - 256GB - Space Grey Unlocked, Great Condition","INR 38,147.55",https://i.ebayimg.com/thumbs/images/g/PUQAAOSwR7Rejv8G/s-l225.jpg
5,Apple iPhone X - 256GB - Silver (AT&T) A1901 (GSM) (UNLOCKED) ,"INR 53,405.81",https://i.ebayimg.com/thumbs/images/g/2D8AAOSwHMld4u8U/s-l225.jpg
6,Apple iPhone X (256gb) AT&T/ Cricket/ Rsim Unlock (A1901) Apple-Care MiNT ~iOS13,"INR 49,362.94",https://i.ebayimg.com/thumbs/images/g/QmAAAOSwm6xd6u6Z/s-l225.jpg
7,Apple iPhone X 64GB Space Gray A1901 GSM Unlocked AT&T T-Mobile - Fair Condition,"INR 25,864.04",https://i.ebayimg.com/thumbs/images/g/2ZUAAOSwifheepmR/s-l225.jpg
8,Apple iPhone X - 64GB - Space Gray (T-Mobile) A1901 (GSM UNLOCKED),"INR 38,147.55",https://i.ebayimg.com/thumbs/images/g/SgMAAOSwkAxeTW~3/s-l225.jpg
9,Apple iPhone X - 64GB - Space Gray (Unlocked) A1865 (CDMA + GSM),"INR 62,561.99",https://i.ebayimg.com/thumbs/images/g/QjkAAOSwJX5ej4oI/s-l225.jpg
10,Apple iPhone X - 256GB - Space Gray (Unlocked) A1901 (GSM),"INR 39,673.46",https://i.ebayimg.com/thumbs/images/g/4N8AAOSwuhZeg3cn/s-l225.jpg
11,APPLE IPHONE X SILVER 256 GB VERIZON W/ OUT CONTRACT W/ FREE SHIPPING (CDMA+GSM),"INR 60,959.79",https://i.ebayimg.com/thumbs/images/g/a6cAAOSw0AxeC8Oi/s-l225.jpg
12,Apple iPhone X - 64GB - Space Gray (Unlocked) A1865 (CDMA + GSM),"INR 40,436.41",https://i.ebayimg.com/thumbs/images/g/sC0AAOSw4i5ejeJ4/s-l225.jpg
13,Apple iPhone X - 64GB - Black  Sprint Carrier ,"INR 22,888.53",https://i.ebayimg.com/thumbs/images/g/3QYAAOSwkbZedTEP/s-l225.jpg
14,NEW Apple iPhone X 10 - 256GB - WHITE SILVER WORLDWIDE FACTORY AT&T SMARTPHONE,"INR 86,060.12",https://i.ebayimg.com/thumbs/images/g/yrkAAOSwVF1aRm-G/s-l225.jpg
15,NEW Apple iPhone X 10 - 256GB - WHITE SILVER (WORLDWIDE FACTORY Unlocked Phone) ,"INR 91,553.37",https://i.ebayimg.com/thumbs/images/g/yrkAAOSwVF1aRm-G/s-l225.jpg
16,Apple iPhone X 256GB Space Gray A1901 GSM Unlocked AT&T T-Mobile - Fair,"INR 28,152.90",https://i.ebayimg.com/thumbs/images/g/Bw8AAOSwLateepox/s-l225.jpg
17,NEW Apple iPhone X - 64GB - SPACE GREY - BLACK (FACTORY WORLDWIDE UNLOCKED),"INR 64,544.90",https://i.ebayimg.com/thumbs/images/g/ytAAAOSwy3hdfWRU/s-l225.jpg
18,Apple iPhone X - 256GB - Space Gray (AT&T) A1901 (GSM) Sealed New w/ Accessories,"INR 58,365.76",https://i.ebayimg.com/thumbs/images/g/HFwAAOSwooFeQN~P/s-l225.jpg
19,Apple iPhone X Smartphone  T-Mobile Unlocked 64GB,"INR 53,330.28",https://i.ebayimg.com/thumbs/images/g/RvIAAOSwr05eO9Fl/s-l225.jpg
20,Apple iPhone X - 64GB - Silver (Unlocked) A1901 (GSM) (CA),"INR 27,466.24",https://i.ebayimg.com/thumbs/images/g/TdAAAOSwfiReQjj3/s-l225.jpg
21,NEW Apple iPhone X 10 Space Gray 256GB Smartphone Phone Unlocked READY TO SHIP,"INR 68,513.01",https://i.ebayimg.com/thumbs/images/g/VxEAAOSwiYlZ~7hZ/s-l225.jpg
22,NEW SEALED Apple iPhone X - 256GB Space Gray BLACK (WORLDWIDE FACTORY UNLOCKED) ,"INR 91,553.37",https://i.ebayimg.com/thumbs/images/g/CS8AAOSww-Bagxz1/s-l225.jpg
23,Apple iPhone X - 256GB - Space Gray (Unlocked) Smartphone,"INR 152,588.69",https://i.ebayimg.com/thumbs/images/g/nugAAOSwijhbYGHE/s-l225.jpg
24,Apple iPhone X - 256GB - Silver (Unlocked) Smartphone,"INR 152,588.69",https://i.ebayimg.com/thumbs/images/g/WAcAAOSwoR9aE~no/s-l225.jpg
25,Apple iPhone X - 64GB - Silver rora,"INR 72,480.35",https://i.ebayimg.com/thumbs/images/g/kG8AAOSwIFtaE~no/s-l225.jpg
26,Apple iPhone X - 256GB - Space Gray (Unlocked) A1865 (CDMA + GSM),"INR 38,452.74",https://i.ebayimg.com/thumbs/images/g/tlIAAOSwQKlejiuo/s-l225.jpg
